Date,Apprenant_ID,Module,Phase,Début,Fin,Minutes,Intervention_niveau,Type_problème,L_C_UX_P_R,Erreur_critique?,Corrigée_sans_aide?,Je_ne_sais_pas?,Description_factuelle,Action_apprenant,Reprise_nécessaire?,Revue_humaine_déclenchée?,Minutes_revue_humaine,Décision,Commentaire
,,TC01,Lecture,,,,,,,,,,,,,,,,
,,TC01,Production,,,,,,,,,,,,,,,,
,,TC01,Quiz,,,,,,,,,,,,,,,,
,,TC01,Autocontrôle,,,,,,,,,,,,,,,,
,,TC02,Lecture,,,,,,,,,,,,,,,,
,,TC02,Production,,,,,,,,,,,,,,,,
,,TC02,Quiz,,,,,,,,,,,,,,,,
,,TC02,Autocontrôle,,,,,,,,,,,,,,,,
,,TC03,Lecture,,,,,,,,,,,,,,,,
,,TC03,Production,,,,,,,,,,,,,,,,
,,TC03,Quiz,,,,,,,,,,,,,,,,
,,TC03,Autocontrôle,,,,,,,,,,,,,,,,
,,TC04,Lecture,,,,,,,,,,,,,,,,
,,TC04,Production,,,,,,,,,,,,,,,,
,,TC04,Quiz,,,,,,,,,,,,,,,,
,,TC04,Autocontrôle,,,,,,,,,,,,,,,,
,,M01,Échantillon humain final,,,,,,,,,,,,,,,,
,,M01,Bilan autonomie mensuel,,,,,,,,,,,,,,,,
