Mouvement;Date;Montant CHF;Sujet proposé;Période / origine;Nature économique;Pièce disponible;Pièce manquante;Traitement / écriture provisoire;Contrôle ou escalade;Risque;Décision remise 1;Nouvelle information remise 2;Décision finale
M01;28.04.2026;10000;;;;;;;;;;;
M02;18.04.2026;3240;;;;;;;;;;;
M03;10.05.2026;7560;;;;;;;;;;;
M04;03.05.2026;2400;;;;;;;;;;;
M05;04.05.2026;486;;;;;;;;;;;
M06;15.05.2026;4950;;;;;;;;;;;
M07;06.05.2026;;;;Montant à calculer;;;;;;;;;
M08;08.05.2026;25000;;;;;;;;;;;
M09;07.05.2026;5400;;;;;;;;;;;
M10;10.05.2026;1188;;;;;;;;;;;
M11;14.05.2026;820;;;;;;;;;;;
M12;19.05.2026;15000;;;;;;;;;;;
