Événement;Date;Sujet / titulaire;Document source;Statut;Impact comptable;Point à confirmer;Responsable;Décision finale
Dernier jour d’activité EI;30.04.2026;;;;;;;
Inscription Atelier Horizon Sàrl;01.05.2026;;;;;;;
Effet économique convention de reprise;01.05.2026;;;;;;;
Ouverture compte CH-SARL-01;12.05.2026;;;;;;;
Dernier encaissement créance EI identifié;10.05.2026;;;;;;;
Dernier remboursement fournisseur EI identifié;14.05.2026;;;;;;;
Premier salaire gérante validé;18.05.2026;;;;;;;
Facture client Sàrl corrigée;20.05.2026;;;;;;;
Transfert ordinateur;01.05.2026;;;;;;;
Transfert abonnement logiciel;01.05.2026;;;;;;;
Bail au nom de la Sàrl;À confirmer;;;;;;;
Clôture / solde final EI;À confirmer;;;;;;;
