Élément;Catégorie;Titulaire avant;Solde / valeur;Pièce source;Repris par Sàrl?;Date de reprise;Contrepartie proposée;Traitement / écriture provisoire;Validation requise;Statut
CH-EI-01;Banque;;;;;;;;;
Créances clients au 30.04;Clients;;;;;;;;;
Dettes fournisseurs au 30.04;Fournisseurs;;;;;;;;;
Mobilier de bureau;Immobilisation;;;;;;;;;
Ordinateur M02;Immobilisation;;;;;;;;;
Abonnements logiciels;Contrats / charges;;;;;;;;;
Bail;Contrat;;;;;;;;;
Acomptes clients;Passif / clients;;;;;;;;;
TVA à payer / recevoir;TVA;;;;;;;;;
Prêts / financements;Dette / capitaux;;;;;;;;;
Autres actifs;Actif;;;;;;;;;
Autres passifs;Passif;;;;;;;;;
