Rôle / personne;Ressource;Lecture;Création / saisie;Modification;Export;Approbation;Administration;Justification du besoin;Date attribution;Date / événement revue;Statut;Action
Assistant comptable;Comptabilité Rivage;;;;;;;;;;;;
Assistant comptable;Payroll Rivage;;;;;;;;;;;;
Payroll specialist;Payroll Rivage;;;;;;;;;;;;
Responsable mandat;Comptabilité Rivage;;;;;;;;;;;;
Responsable mandat;Payroll Rivage;;;;;;;;;;;;
Responsable RH client;Portail payroll;;;;;;;;;;;;
Thomas R. ancien collaborateur;Logiciel comptable;;;;;;;;;;;;
Thomas R. ancien collaborateur;Cloud Rivage;;;;;;;;;;;;
Fournisseur externe;Dossier Rivage;;;;;;;;;;;;
Administrateur IT;Gestion utilisateurs;;;;;;;;;;;;
