Champ,Valeur,Source,Date du contrôle,Statut,Point ouvert
Raison sociale,,,,À compléter,
Forme juridique,,,,À compléter,
Siège,,,,À compléter,
Date d'inscription RC,,,,À compléter,
But inscrit,,,,À compléter,
Activité réellement décrite,,,,À compléter,
Organe / gérant,,,,À compléter,
Pouvoir de signature,,,,À compléter,
Contact opérationnel,,,,À compléter,
Qualité du contact,,,,À compléter,
Mandat demandé,,,,À compléter,
Date de la demande,,,,À compléter,
Version du mandat,,,,À compléter,
Remarque générale,,,,À compléter,
